Type_list,count
International Movies,2437
Dramas,2108
Comedies,1472
International TV Shows,1199
Documentaries,786
Action & Adventure,721
TV Dramas,704
Independent Movies,675
Children & Family Movies,532
Romantic Movies,531
TV Comedies,525
Thrillers,492
Crime TV Shows,427
Kids' TV,414
Docuseries,353
